bt_date_bt_time,Date,Time,Kitchen Sphere Gateway,In Kitchen
28-03-19 14:59,28-03-19,14:59:20:000000,-86,0
28-03-19 15:00,28-03-19,15:00:00:000000,-85.45,0
28-03-19 15:00,28-03-19,15:00:40:000000,-85.675,0
28-03-19 15:01,28-03-19,15:01:20:000000,-85.75,0
28-03-19 15:02,28-03-19,15:02:00:000000,-85.825,0
28-03-19 15:02,28-03-19,15:02:40:000000,-85.275,0
28-03-19 15:03,28-03-19,15:03:20:000000,-85.575,0
28-03-19 15:04,28-03-19,15:04:00:000000,-86.125,0
28-03-19 15:04,28-03-19,15:04:40:000000,-85.625,0
28-03-19 15:05,28-03-19,15:05:20:000000,-86.025,0
28-03-19 15:06,28-03-19,15:06:00:000000,-85.45,0
28-03-19 15:06,28-03-19,15:06:40:000000,-85.425,0
28-03-19 15:07,28-03-19,15:07:20:000000,-85.625,0
28-03-19 15:08,28-03-19,15:08:00:000000,-85.375,0
28-03-19 15:08,28-03-19,15:08:40:000000,-85.575,0
28-03-19 15:09,28-03-19,15:09:20:000000,-85.475,0
28-03-19 15:10,28-03-19,15:10:00:000000,-85.35,0
28-03-19 15:10,28-03-19,15:10:40:000000,-85.7,0
28-03-19 15:11,28-03-19,15:11:20:000000,-85.65,0
28-03-19 15:12,28-03-19,15:12:00:000000,-85.45,0
28-03-19 15:12,28-03-19,15:12:40:000000,-85.15,0
28-03-19 15:13,28-03-19,15:13:20:000000,-85.4,0
28-03-19 15:14,28-03-19,15:14:00:000000,-85.4,0
28-03-19 15:14,28-03-19,15:14:40:000000,-85.75,0
28-03-19 15:15,28-03-19,15:15:20:000000,-85.375,0
28-03-19 15:16,28-03-19,15:16:00:000000,-85.55,0
28-03-19 15:16,28-03-19,15:16:40:000000,-85.675,0
28-03-19 15:17,28-03-19,15:17:20:000000,-85.2,0
28-03-19 15:18,28-03-19,15:18:00:000000,-85.5,0
28-03-19 15:18,28-03-19,15:18:40:000000,-85.9,0
28-03-19 15:19,28-03-19,15:19:20:000000,-84.925,0
28-03-19 15:20,28-03-19,15:20:00:000000,-85.525,0
28-03-19 15:20,28-03-19,15:20:40:000000,-85.225,0
28-03-19 15:21,28-03-19,15:21:20:000000,-85.45,0
28-03-19 15:22,28-03-19,15:22:00:000000,-85.4,0
28-03-19 15:22,28-03-19,15:22:40:000000,-86.025,0
28-03-19 15:23,28-03-19,15:23:20:000000,-85.75,0
28-03-19 15:24,28-03-19,15:24:00:000000,-85.45,0
28-03-19 15:24,28-03-19,15:24:40:000000,-85.1,0
28-03-19 15:25,28-03-19,15:25:20:000000,-85.85,0
28-03-19 15:26,28-03-19,15:26:00:000000,-85.375,0
28-03-19 15:26,28-03-19,15:26:40:000000,-84.95,0
28-03-19 15:27,28-03-19,15:27:20:000000,-85.05,0
28-03-19 15:28,28-03-19,15:28:00:000000,-84.975,0
28-03-19 15:28,28-03-19,15:28:40:000000,-85.3,0
28-03-19 15:29,28-03-19,15:29:20:000000,-85.275,0
28-03-19 15:30,28-03-19,15:30:00:000000,-85.55,0
28-03-19 15:30,28-03-19,15:30:40:000000,-85.8,0
28-03-19 15:31,28-03-19,15:31:20:000000,-85.575,0
28-03-19 15:32,28-03-19,15:32:00:000000,-85.05,0
28-03-19 15:32,28-03-19,15:32:40:000000,-85.5,0
28-03-19 15:33,28-03-19,15:33:20:000000,-85.525,0
28-03-19 15:34,28-03-19,15:34:00:000000,-85.125,0
28-03-19 15:34,28-03-19,15:34:40:000000,-85.125,0
28-03-19 15:35,28-03-19,15:35:20:000000,-85.5,0
28-03-19 15:36,28-03-19,15:36:00:000000,-85.375,0
28-03-19 15:36,28-03-19,15:36:40:000000,-84.925,0
28-03-19 15:37,28-03-19,15:37:20:000000,-85.225,0
28-03-19 15:38,28-03-19,15:38:00:000000,-85.25,0
28-03-19 15:38,28-03-19,15:38:40:000000,-85.3,0
28-03-19 15:39,28-03-19,15:39:20:000000,-85.55,0
28-03-19 15:40,28-03-19,15:40:00:000000,-85.275,0
28-03-19 15:40,28-03-19,15:40:40:000000,-85.375,0
28-03-19 15:41,28-03-19,15:41:20:000000,-85.35,0
28-03-19 15:42,28-03-19,15:42:00:000000,-85.725,0
28-03-19 15:42,28-03-19,15:42:40:000000,-85.45,0
28-03-19 15:43,28-03-19,15:43:20:000000,-85.05,0
28-03-19 15:44,28-03-19,15:44:00:000000,-85.7,0
28-03-19 15:44,28-03-19,15:44:40:000000,-85.625,0
28-03-19 15:45,28-03-19,15:45:20:000000,-85.2,0
28-03-19 15:46,28-03-19,15:46:00:000000,-85.425,0
28-03-19 15:46,28-03-19,15:46:40:000000,-86.15,0
28-03-19 15:47,28-03-19,15:47:20:000000,-85.575,0
28-03-19 15:48,28-03-19,15:48:00:000000,-85.525,0
28-03-19 15:48,28-03-19,15:48:40:000000,-85.7,0
28-03-19 15:49,28-03-19,15:49:20:000000,-85.45,0
28-03-19 15:50,28-03-19,15:50:00:000000,-85.65,0
28-03-19 15:50,28-03-19,15:50:40:000000,-86.075,0
28-03-19 15:51,28-03-19,15:51:20:000000,-85.425,0
28-03-19 15:52,28-03-19,15:52:00:000000,-85.125,0
28-03-19 15:52,28-03-19,15:52:40:000000,-85.175,0
28-03-19 15:53,28-03-19,15:53:20:000000,-85.325,0
28-03-19 15:54,28-03-19,15:54:00:000000,-85.575,0
28-03-19 15:54,28-03-19,15:54:40:000000,-85.1,0
28-03-19 15:55,28-03-19,15:55:20:000000,-86.05263158,0
28-03-19 15:56,28-03-19,15:56:00:000000,-85.55,0
28-03-19 15:56,28-03-19,15:56:40:000000,-85.85,0
28-03-19 15:57,28-03-19,15:57:20:000000,-85.9,0
28-03-19 15:58,28-03-19,15:58:00:000000,-85.45,0
28-03-19 15:58,28-03-19,15:58:40:000000,-85.875,0
28-03-19 15:59,28-03-19,15:59:20:000000,-85.35,0
28-03-19 16:00,28-03-19,16:00:00:000000,-85.7,0
28-03-19 16:00,28-03-19,16:00:40:000000,-85.65,0
28-03-19 16:01,28-03-19,16:01:20:000000,-85.25,0
28-03-19 16:02,28-03-19,16:02:00:000000,-85.275,0
28-03-19 16:02,28-03-19,16:02:40:000000,-85.6,0
28-03-19 16:03,28-03-19,16:03:20:000000,-85.15,0
28-03-19 16:04,28-03-19,16:04:00:000000,-85.575,0
28-03-19 16:04,28-03-19,16:04:40:000000,-85.575,0
28-03-19 16:05,28-03-19,16:05:20:000000,-85.825,0
28-03-19 16:06,28-03-19,16:06:00:000000,-85.45,0
28-03-19 16:06,28-03-19,16:06:40:000000,-85.375,0
28-03-19 16:07,28-03-19,16:07:20:000000,-85.9,0
28-03-19 16:08,28-03-19,16:08:00:000000,-85.525,0
28-03-19 16:08,28-03-19,16:08:40:000000,-85.05,0
28-03-19 16:09,28-03-19,16:09:20:000000,-85.825,0
28-03-19 16:10,28-03-19,16:10:00:000000,-85.2,0
28-03-19 16:10,28-03-19,16:10:40:000000,-85.8,0
28-03-19 16:11,28-03-19,16:11:20:000000,-85.25,0
28-03-19 16:12,28-03-19,16:12:00:000000,-85.825,0
28-03-19 16:12,28-03-19,16:12:40:000000,-84.975,0
28-03-19 16:13,28-03-19,16:13:20:000000,-85.25,0
28-03-19 16:14,28-03-19,16:14:00:000000,-85.275,0
28-03-19 16:14,28-03-19,16:14:40:000000,-85.525,0
28-03-19 16:15,28-03-19,16:15:20:000000,-85.725,0
28-03-19 16:16,28-03-19,16:16:00:000000,-85.675,0
28-03-19 16:16,28-03-19,16:16:40:000000,-85.8,0
28-03-19 16:17,28-03-19,16:17:20:000000,-85.5,0
28-03-19 16:18,28-03-19,16:18:00:000000,-85.35,0
28-03-19 16:18,28-03-19,16:18:40:000000,-85.5,0
28-03-19 16:19,28-03-19,16:19:20:000000,-85.05,0
28-03-19 16:20,28-03-19,16:20:00:000000,-85.55,0
28-03-19 16:20,28-03-19,16:20:40:000000,-84.8,0
28-03-19 16:21,28-03-19,16:21:20:000000,-85.75,0
28-03-19 16:22,28-03-19,16:22:00:000000,-85.575,0
28-03-19 16:22,28-03-19,16:22:40:000000,-86,0
28-03-19 16:23,28-03-19,16:23:20:000000,-85.3,0
28-03-19 16:24,28-03-19,16:24:00:000000,-85.575,0
28-03-19 16:24,28-03-19,16:24:40:000000,-85.4,0
28-03-19 16:25,28-03-19,16:25:20:000000,-85.425,0
28-03-19 16:26,28-03-19,16:26:00:000000,-85.25,0
28-03-19 16:26,28-03-19,16:26:40:000000,-85.55,0
28-03-19 16:27,28-03-19,16:27:20:000000,-85.575,0
28-03-19 16:28,28-03-19,16:28:00:000000,-85.5,0
28-03-19 16:28,28-03-19,16:28:40:000000,-85.55,0
28-03-19 16:29,28-03-19,16:29:20:000000,-85.5,0
28-03-19 16:30,28-03-19,16:30:00:000000,-85.425,0
28-03-19 16:30,28-03-19,16:30:40:000000,-85.25,0
28-03-19 16:31,28-03-19,16:31:20:000000,-85.925,0
28-03-19 16:32,28-03-19,16:32:00:000000,-85.85,0
28-03-19 16:32,28-03-19,16:32:40:000000,-85.525,0
28-03-19 16:33,28-03-19,16:33:20:000000,-85.1,0
28-03-19 16:34,28-03-19,16:34:00:000000,-85.275,0
28-03-19 16:34,28-03-19,16:34:40:000000,-85.55,0
28-03-19 16:35,28-03-19,16:35:20:000000,-85.925,0
28-03-19 16:36,28-03-19,16:36:00:000000,-85.325,0
28-03-19 16:36,28-03-19,16:36:40:000000,-85.55,0
28-03-19 16:37,28-03-19,16:37:20:000000,-85.525,0
28-03-19 16:38,28-03-19,16:38:00:000000,-85.4,0
28-03-19 16:38,28-03-19,16:38:40:000000,-85.55,0
28-03-19 16:39,28-03-19,16:39:20:000000,-85.725,0
28-03-19 16:40,28-03-19,16:40:00:000000,-85.1,0
28-03-19 16:40,28-03-19,16:40:40:000000,-85.675,0
28-03-19 16:41,28-03-19,16:41:20:000000,-85.75,0
28-03-19 16:42,28-03-19,16:42:00:000000,-85.675,0
28-03-19 16:42,28-03-19,16:42:40:000000,-85.625,0
28-03-19 16:43,28-03-19,16:43:20:000000,-85.45,0
28-03-19 16:44,28-03-19,16:44:00:000000,-85.325,0
28-03-19 16:44,28-03-19,16:44:40:000000,-86.15,0
28-03-19 16:45,28-03-19,16:45:20:000000,-84.275,0
28-03-19 16:46,28-03-19,16:46:00:000000,-83.9,0
28-03-19 16:46,28-03-19,16:46:40:000000,-82.825,0
28-03-19 16:47,28-03-19,16:47:20:000000,-83.375,0
28-03-19 16:48,28-03-19,16:48:00:000000,-84.175,0
28-03-19 16:48,28-03-19,16:48:40:000000,-83.275,0
28-03-19 16:49,28-03-19,16:49:20:000000,-84.375,0
28-03-19 16:50,28-03-19,16:50:00:000000,-83.775,0
28-03-19 16:50,28-03-19,16:50:40:000000,-82.75,0
28-03-19 16:51,28-03-19,16:51:20:000000,-84.725,0
28-03-19 16:52,28-03-19,16:52:00:000000,-82.95,0
28-03-19 16:52,28-03-19,16:52:40:000000,-82.3,0
28-03-19 16:53,28-03-19,16:53:20:000000,-80.05,0
28-03-19 16:54,28-03-19,16:54:00:000000,-80.2,0
28-03-19 16:54,28-03-19,16:54:40:000000,-81.025,0
28-03-19 16:55,28-03-19,16:55:20:000000,-79.95,0
28-03-19 16:56,28-03-19,16:56:00:000000,-80.675,0
28-03-19 16:56,28-03-19,16:56:40:000000,-80.475,0
28-03-19 16:57,28-03-19,16:57:20:000000,-81.05,0
28-03-19 16:58,28-03-19,16:58:00:000000,-80.675,0
28-03-19 16:58,28-03-19,16:58:40:000000,-81.65,0
28-03-19 16:59,28-03-19,16:59:20:000000,-85.05,0
28-03-19 17:00,28-03-19,17:00:00:000000,-85.7,0
28-03-19 17:00,28-03-19,17:00:40:000000,-82.175,0
28-03-19 17:01,28-03-19,17:01:20:000000,-81.35,0
28-03-19 17:02,28-03-19,17:02:00:000000,-83.2,0
28-03-19 17:02,28-03-19,17:02:40:000000,-78.7,0
28-03-19 17:03,28-03-19,17:03:20:000000,-82.275,0
28-03-19 17:04,28-03-19,17:04:00:000000,-83.9,0
28-03-19 17:04,28-03-19,17:04:40:000000,-81.675,0
28-03-19 17:05,28-03-19,17:05:20:000000,-81.85,0
28-03-19 17:06,28-03-19,17:06:00:000000,-81.725,0
28-03-19 17:06,28-03-19,17:06:40:000000,-84.44736842,0
28-03-19 17:07,28-03-19,17:07:20:000000,-82.175,0
28-03-19 17:08,28-03-19,17:08:00:000000,-84.25,0
28-03-19 17:08,28-03-19,17:08:40:000000,-82.2,0
28-03-19 17:09,28-03-19,17:09:20:000000,-82.58974359,0
28-03-19 17:10,28-03-19,17:10:00:000000,-84.325,0
28-03-19 17:10,28-03-19,17:10:40:000000,-81.92307692,0
28-03-19 17:11,28-03-19,17:11:20:000000,-83.55263158,0
28-03-19 17:12,28-03-19,17:12:00:000000,-83.175,0
28-03-19 17:12,28-03-19,17:12:40:000000,-82.36842105,0
28-03-19 17:13,28-03-19,17:13:20:000000,-80.13513514,0
28-03-19 17:14,28-03-19,17:14:00:000000,-82.25,0
28-03-19 17:14,28-03-19,17:14:40:000000,-82.2972973,0
28-03-19 17:15,28-03-19,17:15:20:000000,-81.975,0
28-03-19 17:16,28-03-19,17:16:00:000000,-81.225,0
28-03-19 17:16,28-03-19,17:16:40:000000,-78.94871795,0
28-03-19 17:17,28-03-19,17:17:20:000000,-73.45,0
28-03-19 17:18,28-03-19,17:18:00:000000,-60.82051282,0
28-03-19 17:18,28-03-19,17:18:40:000000,-65.85,0
28-03-19 17:19,28-03-19,17:19:20:000000,-59.9,0
28-03-19 17:20,28-03-19,17:20:00:000000,-62.725,0
28-03-19 17:20,28-03-19,17:20:40:000000,-64.5,0
28-03-19 17:21,28-03-19,17:21:20:000000,-67.61111111,0
28-03-19 17:22,28-03-19,17:22:00:000000,-77.15,0
28-03-19 17:22,28-03-19,17:22:40:000000,-81.8,0
28-03-19 17:23,28-03-19,17:23:20:000000,-79.65789474,0
28-03-19 17:24,28-03-19,17:24:00:000000,-79.875,0
28-03-19 17:24,28-03-19,17:24:40:000000,-72.33333333,0
28-03-19 17:25,28-03-19,17:25:20:000000,-69.7027027,0
28-03-19 17:26,28-03-19,17:26:00:000000,-74.325,0
28-03-19 17:26,28-03-19,17:26:40:000000,-78.26315789,0
28-03-19 17:27,28-03-19,17:27:20:000000,-75.825,0
28-03-19 17:28,28-03-19,17:28:00:000000,-68.12,0
28-03-19 17:28,28-03-19,17:28:40:000000,-62.15,0
28-03-19 17:29,28-03-19,17:29:20:000000,-55.71794872,0
28-03-19 17:30,28-03-19,17:30:00:000000,-58.1875,0
28-03-19 17:30,28-03-19,17:30:40:000000,-70.78947368,0
28-03-19 17:31,28-03-19,17:31:20:000000,-69.04761905,0
28-03-19 17:32,28-03-19,17:32:00:000000,-74.45,0
28-03-19 17:32,28-03-19,17:32:40:000000,-74.90322581,0
28-03-19 17:33,28-03-19,17:33:20:000000,-69.7826087,0
28-03-19 17:34,28-03-19,17:34:00:000000,-65.16216216,0
28-03-19 17:34,28-03-19,17:34:40:000000,-59.06451613,0
28-03-19 17:35,28-03-19,17:35:20:000000,-66.94117647,0
28-03-19 17:36,28-03-19,17:36:00:000000,-63.78947368,0
28-03-19 17:36,28-03-19,17:36:40:000000,-67.86206897,0
28-03-19 17:37,28-03-19,17:37:20:000000,-69.63333333,0
28-03-19 17:38,28-03-19,17:38:00:000000,-62.02941176,0
28-03-19 17:38,28-03-19,17:38:40:000000,-67.77777778,0
28-03-19 17:39,28-03-19,17:39:20:000000,-61.84848485,0
28-03-19 17:40,28-03-19,17:40:00:000000,-68.07142857,0
28-03-19 17:40,28-03-19,17:40:40:000000,-71.87179487,0
28-03-19 17:41,28-03-19,17:41:20:000000,-63.18918919,0
28-03-19 17:42,28-03-19,17:42:00:000000,-56.06060606,0
28-03-19 17:42,28-03-19,17:42:40:000000,-65.82051282,0
28-03-19 17:43,28-03-19,17:43:20:000000,-65.3125,0
28-03-19 17:44,28-03-19,17:44:00:000000,-64.59459459,0
28-03-19 17:44,28-03-19,17:44:40:000000,-73.79487179,0
28-03-19 17:45,28-03-19,17:45:20:000000,-75.8974359,0
28-03-19 17:46,28-03-19,17:46:00:000000,-67.95,1
28-03-19 17:46,28-03-19,17:46:40:000000,-68.97435897,1
28-03-19 17:47,28-03-19,17:47:20:000000,-67.76923077,1
28-03-19 17:48,28-03-19,17:48:00:000000,-61.875,1
28-03-19 17:48,28-03-19,17:48:40:000000,-69.20512821,1
28-03-19 17:49,28-03-19,17:49:20:000000,-65.7,1
28-03-19 17:50,28-03-19,17:50:00:000000,-69.0625,1
28-03-19 17:50,28-03-19,17:50:40:000000,-68.11111111,1
28-03-19 17:51,28-03-19,17:51:20:000000,-75.34285714,0
28-03-19 17:52,28-03-19,17:52:00:000000,-79.02702703,0
28-03-19 17:52,28-03-19,17:52:40:000000,-77.425,0
28-03-19 17:53,28-03-19,17:53:20:000000,-66.28571429,1
28-03-19 17:54,28-03-19,17:54:00:000000,-71.85,0
28-03-19 17:54,28-03-19,17:54:40:000000,-62.6,1
28-03-19 17:55,28-03-19,17:55:20:000000,-64.31578947,1
28-03-19 17:56,28-03-19,17:56:00:000000,-64.7,1
28-03-19 17:56,28-03-19,17:56:40:000000,-74.95,0
28-03-19 17:57,28-03-19,17:57:20:000000,-74.76315789,0
28-03-19 17:58,28-03-19,17:58:00:000000,-67.05,1
28-03-19 17:58,28-03-19,17:58:40:000000,-72.075,0
